団体コード,団体名,更新日
011002,北海道札幌市,
012025,北海道函館市,
012033,北海道小樽市,
012041,北海道旭川市,
012050,北海道室蘭市,
012068,北海道釧路市,
012076,北海道帯広市,
012084,北海道北見市,
012092,北海道夕張市,
012106,北海道岩見沢市,
012114,北海道網走市,
012122,北海道留萌市,
012131,北海道苫小牧市,
012157,北海道美唄市,
012165,北海道芦別市,
012173,北海道江別市,
012181,北海道赤平市,
012190,北海道紋別市,
012203,北海道士別市,
012220,北海道三笠市,
012238,北海道根室市,
012246,北海道千歳市,
012254,北海道滝川市,
012262,北海道砂川市,
012271,北海道歌志内市,
012289,北海道深川市,
012297,北海道富良野市,2023/1/30
012301,北海道登別市,2022/8/30
012319,北海道恵庭市,
012343,北海道北広島市,
012351,北海道石狩市,
012360,北海道北斗市,
013030,北海道当別町,
013048,北海道新篠津村,
013323,北海道福島町,
013331,北海道知内町,
013340,北海道木古内町,
013374,北海道七飯町,
013455,北海道森町,
013463,北海道八雲町,
013617,北海道江差町,
013625,北海道上ノ国町,
013641,北海道乙部町,
013676,北海道奥尻町,
013706,北海道今金町,
013714,北海道せたな町,
013919,北海道島牧村,
013927,北海道寿都町,
013935,北海道黒松内町,
013951,北海道ニセコ町,
013960,北海道真狩村,
013978,北海道留寿都村,
013986,北海道喜茂別町,
013994,北海道京極町,
014001,北海道倶知安町,
014010,北海道共和町,
014028,北海道岩内町,
014036,北海道泊村,
014052,北海道積丹町,
014061,北海道古平町,
014079,北海道仁木町,
014087,北海道余市町,
014095,北海道赤井川村,
014231,北海道南幌町,
014249,北海道奈井江町,
014257,北海道上砂川町,
014273,北海道由仁町,
014281,北海道長沼町,2021/6/29
014303,北海道月形町,
014311,北海道浦臼町,
014320,北海道新十津川町,
014338,北海道妹背牛町,
014371,北海道北竜町,
014389,北海道沼田町,
014524,北海道鷹栖町,
014541,北海道当麻町,
014559,北海道比布町,
014567,北海道愛別町,
014591,北海道美瑛町,
014605,北海道上富良野町,
014613,北海道中富良野町,
014621,北海道南富良野町,
014630,北海道占冠村,
014656,北海道剣淵町,
014681,北海道下川町,
014699,北海道美深町,
014702,北海道音威子府村,
014711,北海道中川町,
014818,北海道増毛町,
014826,北海道小平町,
014834,北海道苫前町,
014842,北海道羽幌町,
014851,北海道初山別村,
014869,北海道遠別町,
015130,北海道中頓別町,
015148,北海道枝幸町,
015164,北海道豊富町,
015172,北海道礼文町,
015199,北海道利尻富士町,
015202,北海道幌延町,
015431,北海道美幌町,
015440,北海道津別町,
015458,北海道斜里町,
015466,北海道清里町,
015491,北海道訓子府町,
015504,北海道置戸町,
015521,北海道佐呂間町,
015555,北海道遠軽町,
015601,北海道滝上町,
015628,北海道西興部村,
015636,北海道雄武町,
015717,北海道豊浦町,
015750,北海道壮瞥町,
015784,北海道白老町,
015857,北海道安平町,
015865,北海道むかわ町,
016021,北海道平取町,
016047,北海道新冠町,
016080,北海道様似町,
016098,北海道えりも町,
016101,北海道新ひだか町,
016314,北海道音更町,2022/3/28
016331,北海道上士幌町,
016349,北海道鹿追町,
016357,北海道新得町,
016365,北海道清水町,
016373,北海道芽室町,
016381,北海道中札内村,
016390,北海道更別村,
016411,北海道大樹町,
016438,北海道幕別町,
016446,北海道池田町,
016462,北海道本別町,
016471,北海道足寄町,
016489,北海道陸別町,
016616,北海道釧路町,
016624,北海道厚岸町,
016632,北海道浜中町,
016659,北海道弟子屈町,
016675,北海道鶴居村,
016683,北海道白糠町,
016918,北海道別海町,
016926,北海道中標津町,
016934,北海道標津町,
016942,北海道羅臼町,
022012,青森県青森市,
022021,青森県弘前市,
022039,青森県八戸市,
022047,青森県黒石市,
022055,青森県五所川原市,
022063,青森県十和田市,2021/5/28
022071,青森県三沢市,
022080,青森県むつ市,
022098,青森県つがる市,
022101,青森県平川市,
023019,青森県平内町,
023035,青森県今別町,
023043,青森県蓬田村,
023078,青森県外ヶ浜町,
023213,青森県鰺ヶ沢町,
023230,青森県深浦町,
023434,青森県西目屋村,
023612,青森県藤崎町,
023621,青森県大鰐町,
023671,青森県田舎館村,2020/1/16
023817,青森県板柳町,
023841,青森県鶴田町,
023876,青森県中泊町,
024015,青森県野辺地町,
024023,青森県七戸町,
024058,青森県六戸町,
024066,青森県横浜町,
024082,青森県東北町,
024112,青森県六ヶ所村,
024121,青森県おいらせ町,
024236,青森県大間町,
024244,青森県東通村,
024252,青森県風間浦村,
024261,青森県佐井村,
024414,青森県三戸町,
024422,青森県五戸町,
024431,青森県田子町,
024457,青森県南部町,
024465,青森県階上町,
024503,青森県新郷村,
032018,岩手県盛岡市,2021/10/18
032026,岩手県宮古市,2021/6/29
032069,岩手県北上市,
032077,岩手県久慈市,
032085,岩手県遠野市,
032093,岩手県一関市,
032158,岩手県奥州市,
033022,岩手県葛巻町,
033812,岩手県金ケ崎町,
034029,岩手県平泉町,
034827,岩手県山田町,
034835,岩手県岩泉町,
035033,岩手県野田村,
041009,宮城県仙台市,2021/3/2
042021,宮城県石巻市,
042030,宮城県塩竈市,
042056,宮城県気仙沼市,
042064,宮城県白石市,
042072,宮城県名取市,
042081,宮城県角田市,
042099,宮城県多賀城市,
042111,宮城県岩沼市,
042129,宮城県登米市,
042137,宮城県栗原市,
042145,宮城県東松島市,
042153,宮城県大崎市,
042161,宮城県富谷市,
043010,宮城県蔵王町,
043028,宮城県七ヶ宿町,
043214,宮城県大河原町,
043222,宮城県村田町,
043231,宮城県柴田町,
043249,宮城県川崎町,
043419,宮城県丸森町,
043613,宮城県亘理町,
043621,宮城県山元町,
044016,宮城県松島町,
044041,宮城県七ヶ浜町,
044067,宮城県利府町,
044211,宮城県大和町,
044229,宮城県大郷町,
044245,宮城県大衡村,
044440,宮城県色麻町,
044458,宮城県加美町,
045012,宮城県涌谷町,
045055,宮城県美里町,
045811,宮城県女川町,
046060,宮城県南三陸町,
052019,秋田県秋田市,
052027,秋田県能代市,
052035,秋田県横手市,2022/6/20
052043,秋田県大館市,
052060,秋田県男鹿市,
052078,秋田県湯沢市,2022/12/7
052094,秋田県鹿角市,
052108,秋田県由利本荘市,
052124,秋田県大仙市,
052141,秋田県にかほ市,
052159,秋田県仙北市,
062014,山形県山形市,
062022,山形県米沢市,
062031,山形県鶴岡市,
062049,山形県酒田市,
062065,山形県寒河江市,
062073,山形県上山市,
062081,山形県村山市,
062090,山形県長井市,
062103,山形県天童市,
062138,山形県南陽市,
063223,山形県西川町,
063631,山形県舟形町,
064262,山形県三川町,
064289,山形県庄内町,
072010,福島県福島市,
072028,福島県会津若松市,
072036,福島県郡山市,
072044,福島県いわき市,
072052,福島県白河市,
072079,福島県須賀川市,
072087,福島県喜多方市,
072095,福島県相馬市,
072109,福島県二本松市,
072117,福島県田村市,
072125,福島県南相馬市,
072133,福島県伊達市,
072141,福島県本宮市,
073016,福島県桑折町,
073032,福島県国見町,
073083,福島県川俣町,
073229,福島県大玉村,
073423,福島県鏡石町,
073440,福島県天栄村,
073628,福島県下郷町,
073644,福島県檜枝岐村,
073679,福島県只見町,
073687,福島県南会津町,
074021,福島県北塩原村,
074055,福島県西会津町,
074071,福島県磐梯町,
